major_code,major_name,subject_group,point,note,year,university_code,university_name
7480102,Mạng máy tính và truyền thông dữ liệu (CT Kỹ thuật dữ liệu),A00; A01,24.88,TTNV <= 3,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7480201 _UDU,Công nghệ thông tin (định hướng ứng dụng),A00; A01,23.76,TTNV <= 4,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7480201 _CLC,Công nghệ thông tin (CLC),A00; A01,25.38,TTNV <= 2,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7329001,Công nghệ đa phương tiện,A00; A01; D01,25.89,TTNV = 1,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7320104,Truyền thông đa phương tiện,A00; A01; D01,26.33,TTNV = 1,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7320101,Báo chí,A00; A01; D01,25.36,TTNV <= 4,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7340101,Quản trị kinh doanh,A00; A01; D01,25.15,TTNV <= 6,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7340122,Thương mại điện tử,A00; A01; D01,26.2,TTNV <= 2,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7340115,Marketing,A00; A01; D01,25.8,TTNV <= 6,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7340301,Kế toán,A00; A01; D01,25.05,TTNV <= 3,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7340205,Công nghệ tài chính (Fintech),A00; A01; D01,25.35,TTNV = 1,2023.0,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
7480201,Công nghệ thông tin,A00; A01; A04; A10,15,,2023.0,DCD,Đại Học Công Nghệ Đồng Nai
7510301,"Công nghệ kỹ thuật điện, điện tử",A00; A01; A04; A10,15,,2023.0,DCD,Đại Học Công Nghệ Đồng Nai
7510202,Công nghệ chế tạo máy,A00; A01; A04; A10,15,,2023.0,DCD,Đại Học Công Nghệ Đồng Nai
7510205,Công nghệ kỹ thuật ô tô,A00; A01; A04; A10,15,,2023.0,DCD,Đại Học Công Nghệ Đồng Nai
7540101,Công nghệ thực phẩm,A00; A06; B00; D04,15,,2023.0,DCD,Đại Học Công Nghệ Đồng Nai
7720601,Kỹ thuật xét nghiệm y học,A06; B00; B04; C08,19,,2023.0,DCD,Đại Học Công Nghệ Đồng Nai
7720301,Điều dưỡng,A06; B00; B04; C08,19,,2023.0,DCD,Đại Học Công Nghệ Đồng Nai
7340301,Kế toán,A00; A07; A09; D84,15,,2023.0,DCD,Đại Học Công Nghệ Đồng Nai
7340201,Tài chính - Ngân hàng,A00; A07; A09; D84,15,,2023.0,DCD,Đại Học Công Nghệ Đồng Nai
7340101,Quản trị kinh doanh,A00; A07; A09; D84,15,,2023.0,DCD,Đại Học Công Nghệ Đồng Nai
7810103,Quản trị dịch vụ du lịch và lữ hành,A00; A07; A09; D84,15,,2023.0,DCD,Đại Học Công Nghệ Đồng Nai
7810201,Quản trị khách sạn,A00; A07; A09; D84,15,,2023.0,DCD,Đại Học Công Nghệ Đồng Nai
7310608,Đông phương học,A07; C00; D01; D15,15,,2023.0,DCD,Đại Học Công Nghệ Đồng Nai
7220201,Ngôn ngữ Anh,D01; D14; D15; D84,15,,2023.0,DCD,Đại Học Công Nghệ Đồng Nai
7220204,Ngôn ngữ Trung Quốc,C00; C20; D14; D15,15,,2023.0,DCD,Đại Học Công Nghệ Đồng Nai
7340301,Kế toán,A01; A09; C00; D01,15,Cơ sở chính; phân hiệu,2023.0,DBD,Đại Học Bình Dương
7340201,Tài chính – Ngân hàng,A01; A09; C00; D01,15,Cơ sở chính; phân hiệu,2023.0,DBD,Đại Học Bình Dương
7380107,Luật kinh tế,A01; A09; C00; D01,15,Cơ sở chính; phân hiệu,2023.0,DBD,Đại Học Bình Dương
7340101,"Quản trị kinh doanh
Chuyên ngành
- Quản trị doanh nghiệp
- Quản trị Logistics 
- Bất động sản
- Digital Marketing",A01; A09; C00; D01,15,Cơ sở chính; phân hiệu,2023.0,DBD,Đại Học Bình Dương
7540101,Công nghệ thực phẩm,A00; A09; B00; D07,15,Cơ sở chính,2023.0,DBD,Đại Học Bình Dương
7510605,Logistics và Quản lý chuỗi cung ứng,A00; A09; C00; D01,15,Cơ sở chính; phân hiệu,2023.0,DBD,Đại Học Bình Dương
7480201,"Công nghệ thông tin
Chuyên ngành
- Robot và Trí tuệ nhân tạo
-Kỹ thuật phần mềm 
- Hệ thống thông tin
- Mạng máy tính & An toàn thông tin",A00; A09; D01; K01,15,Cơ sở chính; phân hiệu,2023.0,DBD,Đại Học Bình Dương
7510301,"Công nghệ kỹ thuật điện, điện tử",A00; A02; A09; D01,15,Cơ sở chính,2023.0,DBD,Đại Học Bình Dương
7510102,Công nghệ kỹ thuật công trình xây dựng,A00; A09; V00; V01,15,Cơ sở chính; phân hiệu,2023.0,DBD,Đại Học Bình Dương
7580101,Kiến trúc,A00; A09; V00; V01,15,Cơ sở chính,2023.0,DBD,Đại Học Bình Dương
7510205,Công nghệ kỹ thuật ô tô,A00; A01; A02; A09,15,Cơ sở chính,2023.0,DBD,Đại Học Bình Dương
7720201,Dược học,A00; B00; C08; D07,21,Cơ sở chính,2023.0,DBD,Đại Học Bình Dương
7310614,Hàn Quốc học,A01; A09; C00; D15,15,Cơ sở chính,2023.0,DBD,Đại Học Bình Dương
7310613,Nhật Bản học,A01; A09; C00; D15,15,Cơ sở chính,2023.0,DBD,Đại Học Bình Dương
7220201,Ngôn ngữ Anh,A01; D01; D10; D66,15,Cơ sở chính; phân hiệu,2023.0,DBD,Đại Học Bình Dương
7310301,"Xã hội học
Chuyên ngành
- Truyền thông đa phương tiện
- Quan hệ công chúng",A01; A09; C00; D01,15,Cơ sở chính,2023.0,DBD,Đại Học Bình Dương
BF1,Kỹ thuật Sinh học,A00; B00; D07,24.6,,2023.0,BKA,Đại Học Bách Khoa Hà Nội
BF2,Kỹ thuật Thực phẩm,A00; B00; D07,24.49,,2023.0,BKA,Đại Học Bách Khoa Hà Nội
BF-E12,Kỹ thuật Thực phẩm (CT tiên tiến),A00; B00; D07,22.7,,2023.0,BKA,Đại Học Bách Khoa Hà Nội
BF-E19,Kỹ thuật sinh học (CT tiên tiến),A00; B00; D07,21,,2023.0,BKA,Đại Học Bách Khoa Hà Nội
CH1,Kỹ thuật Hóa học,A00; B00; D07,23.7,,2023.0,BKA,Đại Học Bách Khoa Hà Nội
CH2,Hóa học,A00; B00; D07,23.04,,2023.0,BKA,Đại Học Bách Khoa Hà Nội
CH3,Kỹ thuật In,A00; A01; D07,22.7,,2023.0,BKA,Đại Học Bách Khoa Hà Nội
CH-E11,Kỹ thuật Hóa dược (CT tiên tiến),A00; B00; D07,23.44,,2023.0,BKA,Đại Học Bách Khoa Hà Nội
ED2,Công nghệ Giáo dục,A00; A01; D01,24.55,,2023.0,BKA,Đại Học Bách Khoa Hà Nội
EE1,Kỹ thuật điện,A00; A01,25.55,,2023.0,BKA,Đại Học Bách Khoa Hà Nội
EE2,Kỹ thuật điều khiển & Tự động hóa,A00; A01,27.57,,2023.0,BKA,Đại Học Bách Khoa Hà Nội
