Mã nhóm ngành,Nhóm ngành,Mã phân ngành,Phân ngành,Mã xét tuyển,Tên Ngành
754,Sản xuất và chế biến,75490,Sản xuất và chế biến - Khác,7549001,Công nghệ chế biến gỗ
754,Sản xuất và chế biến,75490,Sản xuất và chế biến - Khác,7540301,Công nghệ chế biến lâm sản
754,Sản xuất và chế biến,75490,Sản xuất và chế biến - Khác,7549001,Công nghệ chế biến lâm sản
754,Sản xuất và chế biến,75401,"Chế biến lương thực, thực phẩm và đồ uống",7540105,Công nghệ chế biến thuỷ sản
754,Sản xuất và chế biến,75401,"Chế biến lương thực, thực phẩm và đồ uống",7540105MP,Công nghệ chế biến thuỷ sản
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510202,Công nghệ chế tạo máy
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510202D,Công nghệ chế tạo máy
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,TLA122,Công nghệ chế tạo máy
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510202C,Công nghệ chế tạo máy
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510202N,Công nghệ chế tạo máy
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510202A,Công nghệ chế tạo máy
751,Công nghệ kỹ thuật,75107,Công nghệ dầu khí và khai thác,7510701,Công nghệ dầu khí và khai thác dầu
751,Công nghệ kỹ thuật,75107,Công nghệ dầu khí và khai thác,7510701CLC,Công nghệ dầu khí và khai thác dầu
754,Sản xuất và chế biến,75402,"Sản xuất, chế biến sợi, vải, giày, da",7540204,"Công nghệ dệt, may"
754,Sản xuất và chế biến,75402,"Sản xuất, chế biến sợi, vải, giày, da",7540204DKK,"Công nghệ dệt, may"
754,Sản xuất và chế biến,75402,"Sản xuất, chế biến sợi, vải, giày, da",TX1,"Công nghệ dệt, may"
714,Khoa học giáo dục và đào tạo giáo viên,71401,Khoa học giáo dục,ED2y,Công nghệ giáo dục
714,Khoa học giáo dục và đào tạo giáo viên,71401,Khoa học giáo dục,ED2,Công nghệ giáo dục
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510401C,Công nghệ hóa học
