university_code,university_name,major_code,major_name,subject_group,point,note,year
MTA,Học Viện Kĩ Thuật Quân Sự - Hệ Dân sự,7520216,Kỹ thuật điều khiển và tự động hoá,"A00, A01",19.6,Hệ dân sự,2018
MAL,Học Viện Hậu Cần - Hệ Dân sự,7340301,Kế toán,"A00, A01",14.05,Hệ dân sự,2018
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7510106D,Kỹ thuật xây dựng,"A00, A01, D01, D90",21,Hệ thống kỹ thuật công trình xây dựng; Tốt nghiệp THPT,2018
DTHU,Đại Học Đồng Tháp,51140222,Sư phạm Mỹ thuật,"H00, H07",15,Hình họa nhân 2 (Điểm chuẩn học bạ lấy 16 điểm)Cao đẳng,2018
DTHU,Đại Học Đồng Tháp,7140222,Sư phạm Mỹ thuật,"H00, H07",17,Hình họa nhân 2 (Điểm chuẩn học bạ lấy 19.5 điểm),2018
UED,Đại Học Sư Phạm – Đại Học Đà Nẵng,7440112,Hóa học,"A00, B00, D07",15,HO >= 4.5;TO >= 5;TTNV <= 3,2018
UED,Đại Học Sư Phạm – Đại Học Đà Nẵng,7140212,Sư phạm Hóa học,"A00, B00, D07",18.5,HO >= 6.25;TO >= 6;TTNV <= 3,2018
DNUMTP,Đại học Kỹ thuật Y Dược Đà Nẵng,7720201,Dược học,B00,21.15,HO >= 6.25;TTNV <= 3,2018
TDTU,Đại Học Tôn Đức Thắng,7520301,Kỹ thuật hoá học,"A00, B00, D07, C02",19,Hóa,2018
UKH,Đại học Khánh Hòa,51140212,Sư phạm Hóa học,"A00, B00, A01, D07",15,Hóa - Sinh,2018
TDTU,Đại Học Tôn Đức Thắng,7720201,Dược học,"A00, B00, D07",21.5,Hóa học,2018
UKH,Đại học Khánh Hòa,7440112,Hoá học,"A00, B00, A01, D07",15,Hóa phân tích,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140101,Giáo dục học,"B00, D01, C00, C01, XDHB",27.05,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140114,Quản lý giáo dục,"B00, D01, C00, C01, XDHB",27.84,Học bạ,2018
