university_code,university_name,major_code,major_name,subject_group,point,note,year
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140209,Sư phạm Toán học,"A00, A01, XDHB",24,Học bạ,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140202,Giáo dục Tiểu học,"D01, C00, D08, D10, XDHB",25,Học bạ,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7310403,Tâm lý học,"B00, D01, C00, C20",15,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,T140211,Vật lí,"A00, A01, D90, D07",15.5,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7480104,Hệ thống thông tin,"A00, A01, D90, D07",16,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140208,Giáo dục Quốc phòng - An ninh,"C00, C19, C20, D66",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140249,Sư phạm Lịch sử Địa lý,"C00, C19, C20, D78",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140247,Sư phạm khoa học tự nhiên,"A00, B00, D90",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140205,Giáo dục Chính trị,"C00, C19, C20, D66",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140246,Sư phạm công nghệ,"A00, B00, D90",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140218,Sư phạm Lịch sử,"C00, D14, C19, D78",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140204,Giáo dục Công dân,"C00, C19, C20, D66",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140213,Sư phạm Sinh học,"B00, D08, B04, B02",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140212,Sư phạm Hóa học,"A00, B00, D90, D07",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140211,Sư phạm Vật lý,"A00, A01, D01, D90",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140210,Sư phạm Tin học,"A00, A01, D01, D90",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140248,Giáo dục pháp luật,"C00, C19, C20, D66",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140201,Giáo dục Mầm non,"M01, M09",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140210TA,Sư phạm Tin học,"A00, A01, D01, D90",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140211TA,Sư phạm Vật lý,"A00, A01, D90, D07",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140212TA,Sư phạm Hóa học,"A00, B00, D90, D07",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140213TA,Sư phạm Sinh học,"B00, D90, D08, B02",19,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140209,Sư phạm Toán học,"A00, A01, D01, D90",20,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140219,Sư phạm Địa lý,"C00, D15, C20, A09",20,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140217,Sư phạm Ngữ văn,"C00, D14, C19, D66",20,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140209TA,Sư phạm Toán học,"A00, A01, D90, D07",20,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140202,Giáo dục Tiểu học,"D01, C00, D08, D10",21,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140202TA,Giáo dục Tiểu học,"D01, C00, D08, D10",21,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140221,Sư phạm Âm nhạc,"N00, N01",24,Điểm thi TN THPT,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140202TA,Giáo dục Tiểu học,"D01, C00, D08, D10, XDHB",25,Đào tạp bằng Tiếng AnhHọc bạ,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,T140211,Vật lí,"A00, A01, XDHB",23.5,"Đào tạo theo chương trình tiên tiến, giảng dạy bằng tiếng AnhHọc bạ",2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140211TA,Sư phạm Vật lý,"A00, A01, XDHB",23.5,Đào tạo bằng Tiếng AnhHọc bạ,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140209TA,Sư phạm Toán học,"A00, A01, XDHB",24,Đào tạo bằng Tiếng AnhHọc bạ,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140213TA,Sư phạm Sinh học,"B00, D08, XDHB",25,Đào tạo bằng Tiếng AnhHọc bạ,2021
HUCE,Đại Học Sư Phạm – Đại Học Huế,7140212TA,Sư phạm Hóa học,"A00, B00, D07, XDHB",25,Đào tạo bằng Tiếng AnhHọc bạ,2021
HNUE,Đại Học Sư Phạm Hà Nội,7140211B,Sư phạm Vật lý,"A01, XDHB",26.4,Vật lí: áp dụng với học sinh trường chuyên.Dạy bằng tiếng Anh.Học bạ,2021
HNUE,Đại Học Sư Phạm Hà Nội,7140219C,Sư phạm Địa lý,"C00, XDHB",74.5,"Văn≥7,5, Sử≥8, Địa≥8Học bạ",2021
HNUE,Đại Học Sư Phạm Hà Nội,7229001C,Triết học,C00,67.2,"Văn≥6, Sử≥6, Địa≥6Học bạ",2021
HNUE,Đại Học Sư Phạm Hà Nội,7229030C,Văn học,"C00, XDHB",21.9,Văn: áp dụng cho thí sinh có chứng chỉ ngoại ngữHọc bạ,2021
HNUE,Đại Học Sư Phạm Hà Nội,7760101B,Công tác xã hội,"D01, D03, D02, XDHB",59.5,"Văn, Toán, Ngoại ngữHọc bạ",2021
