university_code,university_name,major_code,major_name,subject_group,point,note,year
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220203,Ngôn ngữ Pháp,DGNLQGHN,95,Đánh giá năng lực Đại học Quốc gia Hà Nội,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220209,Ngôn ngữ Nhật,DGNLQGHN,100,Đánh giá năng lực Đại học Quốc gia Hà Nội,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220205,Ngôn ngữ Đức,DGNLQGHN,95,Đánh giá năng lực Đại học Quốc gia Hà Nội,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220201,Ngôn ngữ Anh,DGNLQGHN,110,Đánh giá năng lực Đại học Quốc gia Hà Nội,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7140234,Sư phạm Tiếng Trung Quốc,DGNLQGHN,120,Đánh giá năng lực Đại học Quốc gia Hà Nội,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7140237,Sư phạm Tiếng Hàn Quốc,DGNLQGHN,120,Đánh giá năng lực Đại học Quốc gia Hà Nội,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7140236,Sư phạm Tiếng Nhật,DGNLQGHN,120,Đánh giá năng lực Đại học Quốc gia Hà Nội,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7140231,Sư phạm Tiếng Anh,DGNLQGHN,120,Đánh giá năng lực Đại học Quốc gia Hà Nội,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220202,Ngôn ngữ Nga,DGNLQGHN,90,Đánh giá năng lực Đại học Quốc gia Hà Nội,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220204,Ngôn ngữ Trung Quốc,DGNLHCM,960,Đánh giá năng lực Đại học Quốc gia TP.HCM,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220210,Ngôn ngữ Hàn Quốc,DGNLHCM,960,Đánh giá năng lực Đại học Quốc gia TP.HCM,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220203,Ngôn ngữ Pháp,DGNLHCM,960,Đánh giá năng lực Đại học Quốc gia TP.HCM,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220209,Ngôn ngữ Nhật,DGNLHCM,960,Đánh giá năng lực Đại học Quốc gia TP.HCM,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220205,Ngôn ngữ Đức,DGNLHCM,960,Đánh giá năng lực Đại học Quốc gia TP.HCM,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220201,Ngôn ngữ Anh,DGNLHCM,960,Đánh giá năng lực Đại học Quốc gia TP.HCM,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7140234,Sư phạm Tiếng Trung Quốc,DGNLHCM,960,Đánh giá năng lực Đại học Quốc gia TP.HCM,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7140237,Sư phạm Tiếng Hàn Quốc,DGNLHCM,960,Đánh giá năng lực Đại học Quốc gia TP.HCM,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7140236,Sư phạm Tiếng Nhật,DGNLHCM,960,Đánh giá năng lực Đại học Quốc gia TP.HCM,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7140231,Sư phạm Tiếng Anh,DGNLHCM,960,Đánh giá năng lực Đại học Quốc gia TP.HCM,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220202,Ngôn ngữ Nga,DGNLHCM,960,Đánh giá năng lực Đại học Quốc gia TP.HCM,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220211,Ngôn ngữ Ả Rập,"D01, D90, D78",30.49,Tốt nghiệp THPT,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220211,Ngôn ngữ Ả Rập,DGNLHCM,960,Đánh giá năng lực Đại học Quốc gia TP.HCM,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220211,Ngôn ngữ Ả Rập,DGNLQGHN,90,Đánh giá năng lực Đại học Quốc gia Hà Nội,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7140235,Sư phạm Tiếng Đức,"D01, D90, D78, D05",32.98,Tốt nghiệp THPT,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7903124QT,Kinh tế,"A01, D01, D90, D78",24.97,Kinh tế - Tài chính,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220212,Văn hóa Truyền thông,DGNLHCM,960,Văn hóa và truyền thông xuyên quốc gia; Đánh giá năng lực Đại học Quốc gia TP.HCM,2023
ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,7220212,Văn hóa Truyền thông,DGNLQGHN,105,Văn hóa và truyền thông xuyên quốc gia; Đánh giá năng lực Đại học Quốc gia Hà Nội,2023
APD,Học Viện Chính Sách và Phát Triển,7310105,Kinh tế phát triển,"A00, A01, D01, C02",24.5,Tốt nghiệp THPT,2023
APD,Học Viện Chính Sách và Phát Triển,7310205,Quản lý nhà nước,"A00, A01, D01, C02",23.5,Tốt nghiệp THPT,2023
APD,Học Viện Chính Sách và Phát Triển,7310101,Kinh tế,"A00, A01, D01, C01",24.4,Tốt nghiệp THPT,2023
APD,Học Viện Chính Sách và Phát Triển,7340201,Tài chính - Ngân hàng,"A00, A01, D01, D07",24.85,Tốt nghiệp THPT,2023
APD,Học Viện Chính Sách và Phát Triển,7340201,Tài chính - Ngân hàng,"A00, A01, D01, D07",23.5,Tốt nghiệp THPT; Chương trình CLC,2023
APD,Học Viện Chính Sách và Phát Triển,7340101,Quản trị kinh doanh,"A00, A01, D01, C01",24.39,Tốt nghiệp THPT,2023
APD,Học Viện Chính Sách và Phát Triển,7310106,Kinh tế,"A00, A01, D01, D07",24.8,Tốt nghiệp THPT; Kinh tế quốc tế,2023
